"date","day_num","dow","MON","TUE","WED","THU","FRI","SAT","SUN","PRESDAY","STPATS","KDERBY","MEMDAY","INDDAY","LABORDAY","NCAABBALL","TREND","R1_COIN","R1_DROP","R1_RAKE","R2_COIN","R2_DROP","R2_RAKE","R3_COIN","R3_DROP","R3_RAKE","R3_TREND"
2009-02-03,1,"Tuesday",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.493627066451,12.8950010740031,8.36579785488099,15.6743584290603,14.0977652242677,10.021317864158,15.7090214636866,12.1114383569959,8.67075682070256,5.22589805801584
2009-02-04,2,"Wednesday",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,14.5249651617574,12.7777807566594,8.76567419192041,15.8654902868901,14.6253489587625,10.1641274820002,15.2470147208282,11.554102015024,8.1983051852099,5.15423037834218
2009-02-05,3,"Thursday",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.09861228866811,14.3314378439243,12.5756870258928,8.33487593712078,15.9091554851517,15.7732924458919,9.92086384794787,15.3712403088309,11.8888555755463,8.20999894496312,4.74283757275458
2009-02-06,4,"Friday",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.38629436111989,14.970274740152,13.2985434477314,8.74857593052944,15.4112444544156,14.2661659758649,9.71006718511941,15.4343693897242,11.9284809918178,8.50154902725946,4.12719635266089
2009-02-07,5,"Saturday",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.6094379124341,14.6365025469389,13.0186878786725,8.85961261381968,15.614204962088,14.8152581493024,9.82133536252482,15.3426801563238,11.6788566941297,8.18709082592247,5.47251548054188
2009-02-08,6,"Sunday",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.79175946922805,14.4014765310066,12.7479933373002,8.36548055944995,15.9247568416905,14.7050569462134,10.0830119552787,15.3923738548129,12.0239866012643,8.26232402482814,3.61403454729993
2009-02-09,7,"Monday",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,14.6800727202467,13.0456025297302,8.80415748721118,16.1954194752017,15.618025529512,9.66464548259481,15.3069266809672,11.6727899262484,8.16619568652791,4.50475777785413
2009-02-10,8,"Tuesday",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.07944154167984,14.6482881134082,12.6967165070663,8.22901051599106,15.7282654486536,14.6660749996073,9.88854386812037,15.2204069779058,11.8867870773793,7.96280900982394,4.56801177990643
2009-02-11,9,"Wednesday",0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.19722457733622,14.48139904812,12.5403535843065,8.83079121486296,16.4086462765556,15.8775509429097,10.1340328037574,15.2969065926073,11.8416500874904,8.48378113660274,6.88786628818267
2009-02-12,10,"Thursday",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.30258509299405,14.4529167013469,12.67931957559,8.38907671769642,15.6021026605838,14.6158331750963,9.95603134239695,15.6161537253984,12.1040395221794,8.16960696377706,3.72442691249661
2009-02-13,11,"Friday",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.39789527279837,14.9289638477527,13.2128979245853,8.68794223670089,15.6068321334227,15.0373876025332,9.88520301922424,15.187069887317,11.8833529490715,8.29871016689095,4.89084605898969
2009-02-14,12,"Saturday",0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.484906649788,14.7877006865977,13.5466711070275,9.38,15.9350938697347,15.1183026543944,10.1678765421795,15.5393152351235,11.8173792649641,8.53491256928405,4.03705137482323
